"Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier"
"19DF","chlorella","2",0.0240372445121391,0.975962755487861,0.492994032131608,0.507005967868392,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_19DF_D4",317.345227809435,-4.12865289962882,0.0371751195724736,0.031192076058103,0.937678936144634,0.00464273614765178,FALSE
"20DF","chlorella","2",0.0132274078327511,0.986772592167249,0.000228720594327562,0.999771279405672,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_20DF_E4",397.906182357583,-6.46676615875304,0.0602708034581373,0.0374518216331056,0.965857564564037,0.00406539758309287,FALSE
"20DF","chlorella","2",0.0132274078327511,0.986772592167249,0.000228720594327562,0.999771279405672,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_20DF_F4",498.237905843496,-10.7408801965605,0.105073755714286,0.0386260769587098,0.992255192108008,0.00197021494410403,FALSE
"20DF","chlorella","2",0.0132274078327511,0.986772592167249,0.000228720594327562,0.999771279405672,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_20DF_G4",387.700896455711,-6.84016122487943,0.0651465681539031,0.0377955572218225,0.970542226568736,0.00380165643642288,FALSE
"21DF","chlorella","2",0.000123503202215734,0.999876496797784,0.137942284903488,0.862057715096512,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_21DF_B5",337.631740622835,-5.11588820743885,0.0568795478979013,0.0323020474412978,0.937890267838659,0.00479924848878657,FALSE
"21DF","chlorella","2",0.000123503202215734,0.999876496797784,0.137942284903488,0.862057715096512,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_21DF_C5",325.529238654055,-5.40829718538011,0.0606260903953521,0.0343712398568451,0.935055295906659,0.00522983268780198,FALSE
"21DF","chlorella","2",0.000123503202215734,0.999876496797784,0.137942284903488,0.862057715096512,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_2_21DF_D5",314.33094311837,-5.90670250504359,0.0635517077918784,0.0369914738020449,0.938094540406223,0.00548633319043785,FALSE
"22DF","chlorella","2",0.00134657024335501,0.998653429756645,0.00144481783662168,0.998555182163378,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_22DF_E5",333.555580827523,-7.79198475138953,0.0726375936194795,0.0369972637200796,0.985232433417442,0.00261513490042286,FALSE
"22DF","chlorella","2",0.00134657024335501,0.998653429756645,0.00144481783662168,0.998555182163378,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_22DF_F5",298.246241478844,-7.13088266985765,0.0701939910252313,0.036592449914997,0.97657791625398,0.0032718258161369,FALSE
"22DF","chlorella","2",0.00134657024335501,0.998653429756645,0.00144481783662168,0.998555182163378,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_2_22DF_G5",320.937419937533,-7.47316058327708,0.0722052691758883,0.0369671574788981,0.976196289865806,0.00333279944585284,FALSE
"24DF","chlorella","2",0.191126817550263,0.808873182449737,0.0683620579579353,0.931637942042065,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_24DF_E6",250.192243453262,-5.8109992028336,0.0660285095939157,0.0327892431151161,0.945781284502867,0.00453262738959794,FALSE
"24DF","chlorella","2",0.191126817550263,0.808873182449737,0.0683620579579353,0.931637942042065,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_24DF_F6",230.497968833393,-6.16420931884663,0.0709913457135576,0.0354775842134553,0.939014151261094,0.00522001654777099,FALSE
"24DF","chlorella","2",0.191126817550263,0.808873182449737,0.0683620579579353,0.931637942042065,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_24DF_G6",241.307686943075,-5.62153644404708,0.0636975107482616,0.03531052043337,0.934357579569303,0.00540355066570507,FALSE
"25,1DF","chlorella","2",0.747777380221709,0.252222619778291,0.588358637324398,0.411641362675602,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_2_25,1DF_E7",230.034645987685,-5.78223142470261,0.0646871386759182,0.0300123168300119,0.959769532210614,0.0035475861995871,FALSE
