"otu","Isolate","count","totalReads","otuMatches","readType","contamFlag","numOTUs","mixed","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","meanCC","seCC","meanGR","seGR","Domain","Phylum","Class","Order","Family","Genus"
"Otu00002","58,2D3",927,999,72,"miseq",FALSE,1,FALSE,"coelastrum","8",0.00560788512995161,0.994392114870048,0.00949754271745343,0.990502457282547,"Increased CC","Increased GR","Increased CC
Increased GR",513.527900478768,4.91823933266636,0.0341591805134836,0.000953174460577011,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","63D3",198,810,55,"miseq",FALSE,2,TRUE,"coelastrum","7",0.26854311708426,0.73145688291574,0.0638375647587769,0.936162435241223,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",523.776741363896,20.3109568709278,0.0374304989205162,0.00299726309432279,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","77D3",863,973,102,"miseq",FALSE,1,FALSE,"coelastrum","8",0.0849697643766235,0.915030235623376,0.0179505359362999,0.9820494640637,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",512.544483196283,13.9682480065833,0.0364050159794943,0.00266392670920562,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","8,1D3",121,378,75,"miseq",FALSE,2,TRUE,"chlorella","3",0.0232754296120934,0.976724570387907,0.170836762874253,0.829163237125746,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",295.362317351596,14.420944064883,0.0617375779521421,0.00591703052147767,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","90D3",247,990,74,"miseq",FALSE,3,TRUE,"scenedesmus","12",0.093155388600759,0.906844611399241,0.00135714075551302,0.998642859244487,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",450.495536832988,18.9369759419618,0.0292183208661402,0.000784435177925968,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","103D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","10",0.523178354559773,0.476821645440227,0.208880458352569,0.791119541647431,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",203.170665082651,14.4589834045234,0.0329862698322562,0.00150243900735639,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","104D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","10",0.0340177955715548,0.965982204428445,0.272033123269094,0.727966876730906,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",274.407542519388,21.9946959987163,0.0323906097928733,0.0012695190067098,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","108D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","12",0.0840277017766219,0.915972298223378,0.00171683487660412,0.998283165123396,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",454.996362016985,10.7088385291568,0.0297016187393641,0.000868384770053048,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","109D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","12",0.169911435395579,0.830088564604421,0.215723030314581,0.784276969685419,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",420.08441071891,6.01580117095306,0.0234542048654455,0.000357688016858762,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","119D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","11",0.189469166074167,0.810530833925833,0.0258458395068779,0.974154160493122,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",343.346599009143,74.5686457288279,0.0366401070429417,0.00395782792638075,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","122D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","11",0.985703195659217,0.0142968043407825,0.0223259838703656,0.977674016129634,"Decreased CC","Increased GR","Decreased CC
Increased GR",256.112369784548,3.14163061562299,0.0289209606272507,0.0006121477156766,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","124D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","11",1.68514629418757e-06,0.999998314853706,0.000685317432358398,0.999314682567642,"Increased CC","Increased GR","Increased CC
Increased GR",360.42022260546,7.64478473636019,0.0336317517193929,0.00115526625793713,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","146D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","13",0.237824601393061,0.762175398606939,0.00126939121688695,0.998730608783113,"No Significant CC Change","Increased GR","No Significant CC Change
Increased GR",1037.40768770183,636.001218794076,0.0226999408230959,0.000382184483244289,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","147D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","13",0.39582855940187,0.60417144059813,0.134559794759318,0.865440205240682,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",502.012124967486,60.7674160187858,0.0216551059358761,0.00116604546095661,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","154D3",1,1,1,"sanger",FALSE,1,FALSE,"scenedesmus","14",0.987881427994804,0.0121185720051964,0.00310696324097466,0.996893036759025,"Decreased CC","Increased GR","Decreased CC
Increased GR",539.413368698698,20.0725535003265,0.0318772791732903,0.000816004657104322,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","159D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","18",0.0535336436707365,0.946466356329263,0.105939673892542,0.894060326107458,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",536.65767467854,32.1565300933183,0.0266720544072767,0.00310722306495281,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","163D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","19",0.0187660650524945,0.981233934947505,0.959573112068416,0.0404268879315844,"Increased CC","Decreased GR","Increased CC
Decreased GR",814.122100917737,44.1677154536073,0.0155378375831732,0.000732940534617466,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","184D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","19",0.0741747091202637,0.925825290879736,0.964538109153236,0.0354618908467638,"No Significant CC Change","Decreased GR","No Significant CC Change
Decreased GR",839.972160715853,89.4817876799709,0.0151309267657077,0.000948091404610835,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","185D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","16",0.0103866837860051,0.989613316213995,0.973311817220545,0.0266881827794545,"Increased CC","Decreased GR","Increased CC
Decreased GR",1345.61376368943,111.669293062164,0.0109672273860833,0.000283541578624504,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","189D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","16",0.421963779888149,0.578036220111851,0.289359757695036,0.710640242304964,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change",699.513117966712,53.8956447105629,0.0152282753780825,0.00169264542171673,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","196D3",1,1,1,"sanger",FALSE,1,FALSE,"monoraphidium","18",0.00308648077620096,0.996913519223799,0.87508280731551,0.12491719268449,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",879.136023461274,45.1060952548633,0.0176346283681676,0.00126451139760873,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
"Otu00002","206D3",1,1,1,"sanger",FALSE,1,FALSE,"selenastrum","25",0.0109845459118506,0.989015454088149,0.791279596603305,0.208720403396695,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change",518.393300343539,20.061387741959,0.0213483487228612,0.000610176006644541,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax"
