"otu","Isolate","count","totalReads","otuMatches","numOTUs","mixed","Domain","Phylum","Class","Order","Family","Genus"
"Otu27426","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu12380","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu20335","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu25375","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu05046","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu14046","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu26220","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu06645","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00633","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00633","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu00633","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu01316","P1D0sepR2,022um",1,937,213,213,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu13683","P3D0sepR1,022um",1,923,126,126,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu17164","P1D0sepR1,022um",1,936,257,257,TRUE,"Bacteria","OP11","OP11_class_incertae_sedis","OP11_order_incertae_sedis","OP11_family_incertae_sedis","OP11_genus_incertae_sedis"
"Otu05556","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu12603","P2D0sepR3,022um",1,957,182,182,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu18634","P3D0sepR2,022um",1,942,200,200,TRUE,"Bacteria","OD1","OD1_class_incertae_sedis","OD1_order_incertae_sedis","OD1_family_incertae_sedis","OD1_genus_incertae_sedis"
"Otu07519","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
"Otu24426","P3D0sepR3,022um",1,944,164,164,TRUE,"Bacteria","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified","Bacteria_unclassified"
