"Well","host_species","plate_no","Day_isolated","Isolate","exact_isolate","read_day","read_time","read_timeHours","ChlA_100","day_mean","day_sd","Outlier"
"D9","chlorella","1","D31","12DF","Plate_1_12DF_D9","10",2019-11-18 12:32:34,237.509722222222,377,345.666666666667,27.1354626519124,FALSE
"E9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_E9","10",2019-11-18 12:32:34,237.509722222222,273,247.333333333333,22.8983259941275,FALSE
"F9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_F9","10",2019-11-18 12:32:34,237.509722222222,229,247.333333333333,22.8983259941275,FALSE
"G9","chlorella","1","D31","12,1DF","Plate_1_12,1DF_G9","10",2019-11-18 12:32:34,237.509722222222,240,247.333333333333,22.8983259941275,FALSE
"B10","chlorella","1","D31","13DF","Plate_1_13DF_B10","10",2019-11-18 12:32:34,237.509722222222,395,429.333333333333,31.8799832705937,FALSE
"C10","chlorella","1","D31","13DF","Plate_1_13DF_C10","10",2019-11-18 12:32:34,237.509722222222,458,429.333333333333,31.8799832705937,FALSE
"D10","chlorella","1","D31","13DF","Plate_1_13DF_D10","10",2019-11-18 12:32:34,237.509722222222,435,429.333333333333,31.8799832705937,FALSE
"E10","chlorella","1","D31","14DF","Plate_1_14DF_E10","10",2019-11-18 12:32:34,237.509722222222,124,118,7.21110255092798,FALSE
"F10","chlorella","1","D31","14DF","Plate_1_14DF_F10","10",2019-11-18 12:32:34,237.509722222222,120,118,7.21110255092798,FALSE
"G10","chlorella","1","D31","14DF","Plate_1_14DF_G10","10",2019-11-18 12:32:34,237.509722222222,110,118,7.21110255092798,FALSE
"B11","chlorella","1","Ctrl","AC","Plate_1_AC_B11","10",2019-11-18 12:32:34,237.509722222222,195,189,6.32455532033676,FALSE
"C11","chlorella","1","Ctrl","AC","Plate_1_AC_C11","10",2019-11-18 12:32:34,237.509722222222,193,189,6.32455532033676,FALSE
"D11","chlorella","1","Ctrl","AC","Plate_1_AC_D11","10",2019-11-18 12:32:34,237.509722222222,187,189,6.32455532033676,FALSE
"E11","chlorella","1","Ctrl","AC","Plate_1_AC_E11","10",2019-11-18 12:32:34,237.509722222222,181,189,6.32455532033676,FALSE
"F11","chlorella","1","Ctrl","MC","Plate_1_MC_F11","10",2019-11-18 12:32:34,237.509722222222,1,1,0,FALSE
"G11","chlorella","1","Ctrl","MC","Plate_1_MC_G11","10",2019-11-18 12:32:34,237.509722222222,1,1,0,FALSE
"A1","chlorella","1","Ctrl","MC","Plate_1_MC_A1","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
"B1","chlorella","1","Ctrl","MC","Plate_1_MC_B1","3",2019-11-11 12:15:31,69.2255555555556,4,1.89473684210526,1.03426364154774,TRUE
"C1","chlorella","1","Ctrl","MC","Plate_1_MC_C1","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
"D1","chlorella","1","Ctrl","MC","Plate_1_MC_D1","3",2019-11-11 12:15:31,69.2255555555556,1,1.89473684210526,1.03426364154774,FALSE
"E1","chlorella","1","Ctrl","MC","Plate_1_MC_E1","3",2019-11-11 12:15:31,69.2255555555556,3,1.89473684210526,1.03426364154774,FALSE
"F1","chlorella","1","Ctrl","MC","Plate_1_MC_F1","3",2019-11-11 12:15:31,69.2255555555556,3,1.89473684210526,1.03426364154774,FALSE
"G1","chlorella","1","Ctrl","MC","Plate_1_MC_G1","3",2019-11-11 12:15:31,69.2255555555556,1,1.89473684210526,1.03426364154774,FALSE
"H1","chlorella","1","Ctrl","MC","Plate_1_MC_H1","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
"A2","chlorella","1","Ctrl","MC","Plate_1_MC_A2","3",2019-11-11 12:15:31,69.2255555555556,1,1.89473684210526,1.03426364154774,FALSE
"B2","chlorella","1","D31","1DF","Plate_1_1DF_B2","3",2019-11-11 12:15:31,69.2255555555556,461,427.333333333333,30.1053705064949,FALSE
"C2","chlorella","1","D31","1DF","Plate_1_1DF_C2","3",2019-11-11 12:15:31,69.2255555555556,403,427.333333333333,30.1053705064949,FALSE
"D2","chlorella","1","D31","1DF","Plate_1_1DF_D2","3",2019-11-11 12:15:31,69.2255555555556,418,427.333333333333,30.1053705064949,FALSE
"E2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_E2","3",2019-11-11 12:15:31,69.2255555555556,70,62.6666666666667,6.42910050732864,FALSE
"F2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_F2","3",2019-11-11 12:15:31,69.2255555555556,58,62.6666666666667,6.42910050732864,FALSE
"G2","chlorella","1","D31","1,1DF","Plate_1_1,1DF_G2","3",2019-11-11 12:15:31,69.2255555555556,60,62.6666666666667,6.42910050732864,FALSE
"H2","chlorella","1","Ctrl","MC","Plate_1_MC_H2","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
"A3","chlorella","1","Ctrl","MC","Plate_1_MC_A3","3",2019-11-11 12:15:31,69.2255555555556,4,1.89473684210526,1.03426364154774,TRUE
"B3","chlorella","1","D31","2DF","Plate_1_2DF_B3","3",2019-11-11 12:15:31,69.2255555555556,34,38.3333333333333,6.65832811847939,FALSE
"C3","chlorella","1","D31","2DF","Plate_1_2DF_C3","3",2019-11-11 12:15:31,69.2255555555556,46,38.3333333333333,6.65832811847939,FALSE
"D3","chlorella","1","D31","2DF","Plate_1_2DF_D3","3",2019-11-11 12:15:31,69.2255555555556,35,38.3333333333333,6.65832811847939,FALSE
"E3","chlorella","1","D31","3DF","Plate_1_3DF_E3","3",2019-11-11 12:15:31,69.2255555555556,52,46.6666666666667,5.03322295684717,FALSE
"F3","chlorella","1","D31","3DF","Plate_1_3DF_F3","3",2019-11-11 12:15:31,69.2255555555556,46,46.6666666666667,5.03322295684717,FALSE
"G3","chlorella","1","D31","3DF","Plate_1_3DF_G3","3",2019-11-11 12:15:31,69.2255555555556,42,46.6666666666667,5.03322295684717,FALSE
"H3","chlorella","1","Ctrl","MC","Plate_1_MC_H3","3",2019-11-11 12:15:31,69.2255555555556,1,1.89473684210526,1.03426364154774,FALSE
"A4","chlorella","1","Ctrl","MC","Plate_1_MC_A4","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
"B4","chlorella","1","D31","4DF","Plate_1_4DF_B4","3",2019-11-11 12:15:31,69.2255555555556,54,58.3333333333333,3.78593889720018,FALSE
"C4","chlorella","1","D31","4DF","Plate_1_4DF_C4","3",2019-11-11 12:15:31,69.2255555555556,60,58.3333333333333,3.78593889720018,FALSE
"D4","chlorella","1","D31","4DF","Plate_1_4DF_D4","3",2019-11-11 12:15:31,69.2255555555556,61,58.3333333333333,3.78593889720018,FALSE
"E4","chlorella","1","D31","5DF","Plate_1_5DF_E4","3",2019-11-11 12:15:31,69.2255555555556,83,69.6666666666667,20.5507501890645,FALSE
"F4","chlorella","1","D31","5DF","Plate_1_5DF_F4","3",2019-11-11 12:15:31,69.2255555555556,80,69.6666666666667,20.5507501890645,FALSE
"G4","chlorella","1","D31","5DF","Plate_1_5DF_G4","3",2019-11-11 12:15:31,69.2255555555556,46,69.6666666666667,20.5507501890645,FALSE
"H4","chlorella","1","Ctrl","MC","Plate_1_MC_H4","3",2019-11-11 12:15:31,69.2255555555556,3,1.89473684210526,1.03426364154774,FALSE
"A5","chlorella","1","Ctrl","MC","Plate_1_MC_A5","3",2019-11-11 12:15:31,69.2255555555556,2,1.89473684210526,1.03426364154774,FALSE
