"","Isolate","host_species","plate_no","pCC_greater","pCC_less","pGR_greater","pGR_less","ccEffect","grEffect","annotation","exact_isolate","asymptote","intercept","growthParam","growthrate","r2","std_error","outlier","split_var","normCC","normGR","logNormCC","logNormGR"
"61","109D3","scenedesmus","12",0.149884493691663,0.850115506308337,0.0806238391165124,0.919376160883488,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_109D3_D2",317.528079579611,-3.93926033876806,0.0246413662040934,0.0250905859863457,0.961179024190882,0.00291126177740625,FALSE,"109D3_12",1.15126833603016,1.02659309106231,0.14086423552257,0.0262456411996452
"62","109D3","scenedesmus","12",0.149884493691663,0.850115506308337,0.0806238391165124,0.919376160883488,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_109D3_D3",331.794155657846,-3.85608347277454,0.0233053072464896,0.025508614079599,0.966375422093208,0.0027471458584435,FALSE,"109D3_12",1.20299315258816,1.04369690651872,0.184812745029672,0.0427691278830925
"63","109D3","scenedesmus","12",0.149884493691663,0.850115506308337,0.0806238391165124,0.919376160883488,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_109D3_D4",326.274739026794,-3.88149936983439,0.024408808936915,0.0259072662092838,0.969678965140373,0.00264495923448099,FALSE,"109D3_12",1.18298128589246,1.06000794533999,0.168037765676245,0.0582764036996518
"64","109DF","monoraphidium","16",0.00829003905002544,0.991709960949975,0.9200175374983,0.0799824625016996,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_16_109DF_B2",864.944216331728,-3.31182531065287,0.0113111747065909,0.0266183961302854,0.964157884110742,0.00296308423543847,FALSE,"109DF_16",2.13280076336372,0.849470675782195,0.757436028358465,-0.163141857851249
"65","109DF","monoraphidium","16",0.00829003905002544,0.991709960949975,0.9200175374983,0.0799824625016996,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_16_109DF_B3",742.188400938947,-3.19981942808163,0.0126062206228284,0.0311112839550186,0.965735362123964,0.00338338417327483,FALSE,"109DF_16",1.83010644870904,0.992851833610383,0.604374133855062,-0.00717383693568945
"66","109DF","monoraphidium","16",0.00829003905002544,0.991709960949975,0.9200175374983,0.0799824625016996,"Increased CC","No Significant GR Change","Increased CC
No Significant GR Change","Plate_16_109DF_B4",641.348948350616,-3.18324249293093,0.0136243765098044,0.0256113341324879,0.981776637859961,0.00174465722192235,FALSE,"109DF_16",1.58145404154029,0.817332389476873,0.458344703297238,-0.201709425394722
"67","10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_B8",378.159900305522,-7.09675978766076,0.0667189689890539,0.0376039720091019,0.970988347124239,0.0037527732186931,FALSE,"10DF_1",1.98437419812279,1.28043148355265,0.685303599003233,0.247197117652767
"68","10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_C8",353.004539285362,-7.81253921715004,0.0714506947475456,0.0340089992995865,0.98302496054358,0.00258021769540075,FALSE,"10DF_1",1.85237276351129,1.15802111055637,0.616467392164652,0.146712609171482
"69","10DF","chlorella","1",0.0017167361420737,0.998283263857926,0.0219176835929923,0.978082316407008,"Increased CC","Increased GR","Increased CC
Increased GR","Plate_1_10DF_D8",325.606306253546,-6.57901859838661,0.0621757635209204,0.0332683904184353,0.967976617831593,0.00349359315398727,FALSE,"10DF_1",1.70860197591968,1.13280305837307,0.5356754781901,0.124695143788659
"70","110D3","scenedesmus","12",0.0825090133292562,0.917490986670744,0.237468712159396,0.762531287840604,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_110D3_D5",326.391928773782,-4.9156513175632,0.0341324656772685,0.0253706360960874,0.990452635488219,0.00143812165110883,FALSE,"110D3_12",1.18340618325962,1.03805147262297,0.168396876242262,0.0373453717829935
"71","110D3","scenedesmus","12",0.0825090133292562,0.917490986670744,0.237468712159396,0.762531287840604,"No Significant CC Change","No Significant GR Change","No Significant CC Change
No Significant GR Change","Plate_12_110D3_D6",348.663222969161,-4.49004391950175,0.0302861393106302,0.0257111241142102,0.992609992822056,0.00128083606021251,FALSE,"110D3_12",1.26415569002292,1.05198269954547,0.234404460626048,0.0506766688813085
